admin3_pcode,hrp_ierp,beneficiaries,townships,partners
MMR001001,hrp,102978,1,6
MMR001002,hrp,142655,1,10
MMR001003,hrp,641,1,2
MMR001004,hrp,15281,1,3
MMR001005,hrp,24831,1,4
MMR001007,hrp,5901,1,2
MMR001008,hrp,18484,1,4
MMR001009,hrp,46953,1,3
MMR001010,hrp,75058,1,9
MMR001011,hrp,4506,1,4
MMR001012,hrp,99885,1,11
MMR001013,hrp,67169,1,8
MMR001014,hrp,3766,1,3
MMR001015,hrp,1698,1,1
MMR002001,ierp,13385,1,5
MMR002001,non_hrp,6695,1,2
MMR002002,ierp,5268,1,5
MMR002002,non_hrp,2450,1,2
MMR002003,ierp,3768,1,2
MMR002004,ierp,137,1,1
MMR003001,ierp,7865,1,1
MMR003002,hrp,20329,1,3
MMR003004,ierp,3299,1,3
MMR003005,ierp,2662,1,1
MMR003005,non_hrp,7841,1,1
MMR003006,ierp,32174,1,2
MMR003006,non_hrp,3766,1,1
MMR003007,ierp,1342,1,1
MMR004002,ierp,2912,1,1
MMR004004,ierp,760,1,1
MMR004004,non_hrp,0,1,1
MMR004005,ierp,490,1,1
MMR004005,non_hrp,0,1,1
MMR004006,ierp,3540,1,2
MMR004009,hrp,128649,1,2
MMR005003,ierp,4106,1,1
MMR005004,ierp,4118,1,2
MMR005005,ierp,3392,1,2
MMR005006,ierp,2603,1,2
MMR005010,ierp,2228,1,1
MMR005011,ierp,1327,1,1
MMR005016,ierp,1932,1,1
MMR005017,ierp,4904,1,1
MMR005019,ierp,4594,1,1
MMR005035,ierp,6039,1,1
MMR005035,non_hrp,2921,1,2
MMR005036,ierp,4247,1,1
MMR005036,non_hrp,10988,1,2
MMR005037,ierp,8922,1,2
MMR005037,non_hrp,13178,1,2
MMR006001,ierp,50,1,1
MMR006003,ierp,4097,1,1
MMR006007,ierp,145,1,1
MMR006009,ierp,184,1,1
MMR007002,non_hrp,2403,1,1
MMR007003,non_hrp,2456,1,1
MMR007004,non_hrp,3758,1,1
MMR007011,hrp,4357,1,2
MMR009001,ierp,44,1,1
MMR009001,non_hrp,16809,1,1
MMR009002,ierp,657,1,2
MMR009002,non_hrp,11855,1,1
MMR009003,ierp,2698,1,2
MMR009003,non_hrp,10006,1,1
MMR009005,ierp,100039,1,2
MMR009005,non_hrp,62450,1,2
MMR009006,ierp,42,1,1
MMR009007,ierp,40,1,1
MMR009007,non_hrp,12864,1,1
MMR009010,ierp,92800,1,2
MMR009010,non_hrp,46380,1,1
MMR009018,ierp,46,1,1
MMR009022,ierp,112079,1,2
MMR009022,non_hrp,54438,1,1
MMR009025,ierp,938,1,1
MMR010001,ierp,24329,1,2
MMR010003,ierp,4235,1,1
MMR010005,ierp,11528,1,1
MMR010006,ierp,10291,1,1
MMR010009,ierp,1558,1,1
MMR010017,ierp,42,1,1
MMR010017,non_hrp,46566,1,1
MMR010018,ierp,45,1,1
MMR010022,non_hrp,71547,1,1
MMR010028,ierp,40,1,1
MMR010029,non_hrp,188,1,1
MMR010030,ierp,40,1,1
MMR010031,ierp,41,1,1
MMR010031,non_hrp,188,1,1
MMR011001,ierp,13707,1,2
MMR011002,ierp,34312,1,2
MMR011003,ierp,583,1,1
MMR011007,non_hrp,39,1,1
MMR011008,ierp,1166,1,2
MMR011008,non_hrp,994,1,1
MMR011009,ierp,1560,1,2
MMR011009,non_hrp,783,1,1
MMR011010,ierp,5668,1,2
MMR011010,non_hrp,4982,1,2
MMR012001,hrp,1387253,1,12
MMR012002,hrp,7078,1,3
MMR012003,hrp,164584,1,4
MMR012004,hrp,181412,1,2
MMR012005,hrp,58262,1,2
MMR012006,hrp,56940,1,3
MMR012007,hrp,513890,1,6
MMR012008,hrp,116507,1,4
MMR012009,hrp,286346,1,7
MMR012010,hrp,1155514,1,6
MMR012011,hrp,13770,1,1
MMR012014,hrp,25008,1,1
MMR013003,ierp,4686,1,1
MMR013003,non_hrp,1275,1,1
MMR013004,ierp,27848,1,1
MMR013005,ierp,6266,1,1
MMR013007,ierp,379774,1,4
MMR013007,non_hrp,776,1,3
MMR013008,ierp,596087,1,6
MMR013008,non_hrp,207223,1,6
MMR013012,ierp,255380,1,7
MMR013018,non_hrp,2770,1,1
MMR013021,ierp,568232,1,2
MMR013023,ierp,11963,1,1
MMR013030,ierp,459836,1,7
MMR014001,ierp,2108,1,2
MMR014003,non_hrp,870,1,1
MMR014004,ierp,16,1,1
MMR014004,non_hrp,1186,1,1
MMR014005,ierp,204,1,1
MMR014005,non_hrp,495,1,1
MMR014006,non_hrp,2260,1,1
MMR014007,ierp,2244,1,1
MMR014007,non_hrp,6474,1,1
MMR014009,non_hrp,2364,1,1
MMR014010,ierp,4271,1,3
MMR014011,ierp,120,1,1
MMR014012,ierp,17,1,1
MMR014013,ierp,1665,1,2
MMR014019,ierp,201,1,1
MMR014021,ierp,25,1,1
MMR015001,hrp,29963,1,1
MMR015002,hrp,1170,1,3
MMR015009,hrp,200,1,1
MMR015010,hrp,8998,1,2
MMR015011,hrp,10048,1,3
MMR015012,ierp,4861,1,2
MMR015012,non_hrp,7361,1,2
MMR015013,ierp,718,1,1
MMR015014,hrp,2517,1,1
MMR015015,hrp,27426,1,3
MMR015016,ierp,100,1,1
MMR015016,non_hrp,100,1,1
MMR015019,hrp,1701,1,1
MMR015022,hrp,17334,1,4
MMR015023,ierp,14394,1,1
MMR015023,non_hrp,35985,1,2
MMR015305,ierp,540,1,1
MMR015306,ierp,355,1,1
MMR015307,ierp,160,1,1
MMR015308,ierp,1173,1,1
MMR015308,non_hrp,2359,1,1
MMR015309,ierp,350,1,1
MMR015312,non_hrp,896,1,1
MMR015313,ierp,100,1,1
MMR015315,ierp,150,1,1
MMR015316,ierp,800,1,1
MMR016321,ierp,510,1,1
MMR017001,ierp,365,1,1
MMR017002,ierp,944,1,1
MMR017003,ierp,18341,1,1
MMR017007,ierp,944,1,1
MMR017009,ierp,94104,1,1
MMR017009,non_hrp,47052,1,1
MMR017012,ierp,6315,1,1
MMR017014,ierp,21594,1,2
MMR017014,non_hrp,385,1,1
MMR017015,ierp,13076,1,2
MMR017015,non_hrp,2,1,1
MMR017016,ierp,1706,1,1
MMR017016,non_hrp,852,1,1
MMR017017,ierp,984,1,1
MMR017018,ierp,3289,1,2
MMR017019,ierp,102516,1,1
MMR017019,non_hrp,51258,1,1
MMR017020,ierp,94316,1,2
MMR017020,non_hrp,46686,1,1
MMR017023,ierp,95820,1,1
MMR017023,non_hrp,47910,1,1
MMR017024,ierp,3936,1,2
