admin3_pcode,hrp_ierp,hrp_ip,ierp_ip,non_hrp_ip
MMR001001,hrp,6,0,0
MMR001002,hrp,10,0,0
MMR001003,hrp,2,0,0
MMR001004,hrp,3,0,0
MMR001005,hrp,4,0,0
MMR001007,hrp,2,0,0
MMR001008,hrp,4,0,0
MMR001009,hrp,3,0,0
MMR001010,hrp,9,0,0
MMR001011,hrp,4,0,0
MMR001012,hrp,11,0,0
MMR001013,hrp,8,0,0
MMR001014,hrp,3,0,0
MMR001015,hrp,1,0,0
MMR002001,ierp,0,5,0
MMR002001,non_hrp,0,0,2
MMR002002,ierp,0,5,0
MMR002002,non_hrp,0,0,2
MMR002003,ierp,0,2,0
MMR002004,ierp,0,1,0
MMR003001,ierp,0,1,0
MMR003002,hrp,3,0,0
MMR003004,ierp,0,3,0
MMR003005,ierp,0,1,0
MMR003005,non_hrp,0,0,1
MMR003006,ierp,0,2,0
MMR003006,non_hrp,0,0,1
MMR003007,ierp,0,1,0
MMR004002,ierp,0,1,0
MMR004004,ierp,0,1,0
MMR004004,non_hrp,0,0,1
MMR004005,ierp,0,1,0
MMR004005,non_hrp,0,0,1
MMR004006,ierp,0,2,0
MMR004009,hrp,2,0,0
MMR005003,ierp,0,1,0
MMR005004,ierp,0,2,0
MMR005005,ierp,0,2,0
MMR005006,ierp,0,2,0
MMR005010,ierp,0,1,0
MMR005011,ierp,0,1,0
MMR005016,ierp,0,1,0
MMR005017,ierp,0,1,0
MMR005019,ierp,0,1,0
MMR005035,ierp,0,1,0
MMR005035,non_hrp,0,0,2
MMR005036,ierp,0,1,0
MMR005036,non_hrp,0,0,2
MMR005037,ierp,0,2,0
MMR005037,non_hrp,0,0,2
MMR006001,ierp,0,1,0
MMR006003,ierp,0,1,0
MMR006007,ierp,0,1,0
MMR006009,ierp,0,1,0
MMR007002,non_hrp,0,0,1
MMR007003,non_hrp,0,0,1
MMR007004,non_hrp,0,0,1
MMR007011,hrp,2,0,0
MMR009001,ierp,0,1,0
MMR009001,non_hrp,0,0,1
MMR009002,ierp,0,2,0
MMR009002,non_hrp,0,0,1
MMR009003,ierp,0,2,0
MMR009003,non_hrp,0,0,1
MMR009005,ierp,0,2,0
MMR009005,non_hrp,0,0,2
MMR009006,ierp,0,1,0
MMR009007,ierp,0,1,0
MMR009007,non_hrp,0,0,1
MMR009010,ierp,0,2,0
MMR009010,non_hrp,0,0,1
MMR009018,ierp,0,1,0
MMR009022,ierp,0,2,0
MMR009022,non_hrp,0,0,1
MMR009025,ierp,0,1,0
MMR010001,ierp,0,2,0
MMR010003,ierp,0,1,0
MMR010005,ierp,0,1,0
MMR010006,ierp,0,1,0
MMR010009,ierp,0,1,0
MMR010017,ierp,0,1,0
MMR010017,non_hrp,0,0,1
MMR010018,ierp,0,1,0
MMR010022,non_hrp,0,0,1
MMR010028,ierp,0,1,0
MMR010029,non_hrp,0,0,1
MMR010030,ierp,0,1,0
MMR010031,ierp,0,1,0
MMR010031,non_hrp,0,0,1
MMR011001,ierp,0,2,0
MMR011002,ierp,0,2,0
MMR011003,ierp,0,1,0
MMR011007,non_hrp,0,0,1
MMR011008,ierp,0,2,0
MMR011008,non_hrp,0,0,1
MMR011009,ierp,0,2,0
MMR011009,non_hrp,0,0,1
MMR011010,ierp,0,2,0
MMR011010,non_hrp,0,0,2
MMR012001,hrp,12,0,0
MMR012002,hrp,3,0,0
MMR012003,hrp,4,0,0
MMR012004,hrp,2,0,0
MMR012005,hrp,2,0,0
MMR012006,hrp,3,0,0
MMR012007,hrp,6,0,0
MMR012008,hrp,4,0,0
MMR012009,hrp,7,0,0
MMR012010,hrp,6,0,0
MMR012011,hrp,1,0,0
MMR012014,hrp,1,0,0
MMR013003,ierp,0,1,0
MMR013003,non_hrp,0,0,1
MMR013004,ierp,0,1,0
MMR013005,ierp,0,1,0
MMR013007,ierp,0,4,0
MMR013007,non_hrp,0,0,3
MMR013008,ierp,0,6,0
MMR013008,non_hrp,0,0,6
MMR013012,ierp,0,7,0
MMR013018,non_hrp,0,0,1
MMR013021,ierp,0,2,0
MMR013023,ierp,0,1,0
MMR013030,ierp,0,7,0
MMR014001,ierp,0,2,0
MMR014003,non_hrp,0,0,1
MMR014004,ierp,0,1,0
MMR014004,non_hrp,0,0,1
MMR014005,ierp,0,1,0
MMR014005,non_hrp,0,0,1
MMR014006,non_hrp,0,0,1
MMR014007,ierp,0,1,0
MMR014007,non_hrp,0,0,1
MMR014009,non_hrp,0,0,1
MMR014010,ierp,0,3,0
MMR014011,ierp,0,1,0
MMR014012,ierp,0,1,0
MMR014013,ierp,0,2,0
MMR014019,ierp,0,1,0
MMR014021,ierp,0,1,0
MMR015001,hrp,1,0,0
MMR015002,hrp,3,0,0
MMR015009,hrp,1,0,0
MMR015010,hrp,2,0,0
MMR015011,hrp,3,0,0
MMR015012,ierp,0,2,0
MMR015012,non_hrp,0,0,2
MMR015013,ierp,0,1,0
MMR015014,hrp,1,0,0
MMR015015,hrp,3,0,0
MMR015016,ierp,0,1,0
MMR015016,non_hrp,0,0,1
MMR015019,hrp,1,0,0
MMR015022,hrp,4,0,0
MMR015023,ierp,0,1,0
MMR015023,non_hrp,0,0,2
MMR015305,ierp,0,1,0
MMR015306,ierp,0,1,0
MMR015307,ierp,0,1,0
MMR015308,ierp,0,1,0
MMR015308,non_hrp,0,0,1
MMR015309,ierp,0,1,0
MMR015312,non_hrp,0,0,1
MMR015313,ierp,0,1,0
MMR015315,ierp,0,1,0
MMR015316,ierp,0,1,0
MMR016321,ierp,0,1,0
MMR017001,ierp,0,1,0
MMR017002,ierp,0,1,0
MMR017003,ierp,0,1,0
MMR017007,ierp,0,1,0
MMR017009,ierp,0,1,0
MMR017009,non_hrp,0,0,1
MMR017012,ierp,0,1,0
MMR017014,ierp,0,2,0
MMR017014,non_hrp,0,0,1
MMR017015,ierp,0,2,0
MMR017015,non_hrp,0,0,1
MMR017016,ierp,0,1,0
MMR017016,non_hrp,0,0,1
MMR017017,ierp,0,1,0
MMR017018,ierp,0,2,0
MMR017019,ierp,0,1,0
MMR017019,non_hrp,0,0,1
MMR017020,ierp,0,2,0
MMR017020,non_hrp,0,0,1
MMR017023,ierp,0,1,0
MMR017023,non_hrp,0,0,1
MMR017024,ierp,0,2,0
